episode,mean_reward,max_reward,min_reward,std_reward,mean_episode_length,collision_rate,success_rate,mean_travel_time_s,total_collisions,total_successes,steps_per_sec,episodes_per_sec,elapsed_sec,mean_train_loss,success_rate/left,collision_rate/left,success_rate/straight,collision_rate/straight,success_rate/right,collision_rate/right,success_rate/scenario_a,success_rate/scenario_b,success_rate/scenario_c,success_rate/scenario_d,success_rate/scenario_e,success_rate/scenario_f,success_rate/scenario_g,success_rate/scenario_h,success_rate/scenario_i
450,-29.079002380371094,27.799997329711914,-535.8499755859375,148.64137268066406,233.86000061035156,0.07999999821186066,0.9800000190734863,23.42099952697754,21.0,444.0,33.167232513427734,0.16194938123226166,1415.4769287109375,2.4563310146331787,0.9900000095367432,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.009999999776482582,1.0,0.8999999761581421,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0
460,-18.44500160217285,27.799997329711914,-535.8499755859375,129.95704650878906,236.3000030517578,0.05999999865889549,0.9800000190734863,23.615999221801758,21.0,454.0,31.928180694580078,0.155899316072464,1479.6209716796875,2.5083835124969482,0.9900000095367432,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.009999999776482582,1.0,0.949999988079071,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0
470,-18.65650177001953,27.799997329711914,-535.8499755859375,129.91505432128906,237.7100067138672,0.05999999865889549,0.9800000190734863,23.892000198364258,21.0,464.0,33.6769905090332,0.1644384264945984,1540.4339599609375,2.49721097946167,0.9900000095367432,0.09000000357627869,0.9700000286102295,0.03999999910593033,1.0,0.009999999776482582,1.0,1.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0
480,-18.649002075195312,27.799997329711914,-535.8499755859375,129.91416931152344,237.66000366210938,0.05999999865889549,0.9800000190734863,23.893999099731445,22.0,474.0,60.67856979370117,0.1481410413980484,1607.937255859375,2.509523391723633,0.9900000095367432,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.009999999776482582,1.0,1.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0
490,-18.805002212524414,27.799997329711914,-535.8499755859375,129.88433837890625,238.6999969482422,0.05999999865889549,0.9800000190734863,23.95599937438965,22.0,484.0,19.60504913330078,0.09572777897119522,1712.400146484375,2.498790979385376,0.9900000095367432,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.009999999776482582,1.0,1.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0
500,-13.609502792358398,27.799997329711914,-535.8499755859375,119.27972412109375,240.72999572753906,0.05000000074505806,0.9900000095367432,24.097000122070312,22.0,494.0,32.36140441894531,0.1580146700143814,1775.6854248046875,2.48832631111145,0.9900000095367432,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.009999999776482582,1.0,1.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0
510,-13.864502906799316,27.799997329711914,-535.8499755859375,119.22711944580078,242.42999267578125,0.05000000074505806,0.9900000095367432,24.27400016784668,22.0,504.0,32.9644889831543,0.1609594225883484,1837.8128662109375,2.4783291816711426,0.9900000095367432,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.009999999776482582,1.0,1.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0
520,-13.714502334594727,27.799997329711914,-534.6500244140625,119.01387786865234,241.42999267578125,0.05000000074505806,0.9800000190734863,24.263999938964844,23.0,513.0,33.30239486694336,0.16260933876037598,1899.3099365234375,2.4724221229553223,0.9900000095367432,0.10000000149011612,0.9599999785423279,0.05000000074505806,1.0,0.009999999776482582,1.0,1.0,1.0,0.8500000238418579,1.0,1.0,1.0,1.0,1.0
530,-19.213003158569336,27.799997329711914,-534.6500244140625,129.7167510986328,241.4199981689453,0.05999999865889549,0.9800000190734863,24.214000701904297,24.0,523.0,65.58061218261719,0.16010890901088715,1961.7674560546875,2.5111467838287354,0.9900000095367432,0.10999999940395355,0.9599999785423279,0.05000000074505806,1.0,0.009999999776482582,1.0,1.0,1.0,0.8500000238418579,1.0,1.0,1.0,1.0,1.0
540,-25.01900291442871,26.749998092651367,-534.9500122070312,139.34799194335938,243.4600067138672,0.07000000029802322,0.9800000190734863,24.36199951171875,25.0,533.0,32.09465408325195,0.15671217441558838,2025.5787353515625,2.5312740802764893,0.9900000095367432,0.10999999940395355,0.9599999785423279,0.05000000074505806,1.0,0.009999999776482582,1.0,1.0,1.0,0.8500000238418579,1.0,1.0,1.0,1.0,1.0
550,-8.661502838134766,26.749998092651367,-534.9500122070312,107.24102020263672,244.41000366210938,0.03999999910593033,0.9900000095367432,24.540000915527344,25.0,543.0,32.209747314453125,0.15727415680885315,2089.161865234375,2.5214591026306152,0.9900000095367432,0.10999999940395355,0.9599999785423279,0.05000000074505806,1.0,0.009999999776482582,1.0,1.0,1.0,0.8500000238418579,1.0,1.0,1.0,1.0,1.0
